Q150893,P8814,01479470-n
Q150893,P5063,i43062
Q3377629,P8814,01480386-n
Q3377629,P5063,i43067
Q740209,P8814,01481457-n
Q740209,P5063,i43072
Q20859372,P8814,01481970-n
Q20859372,P5063,i43076
Q25371,P8814,01482977-n
Q25371,P5063,i43082
Q19240,P8814,01483844-n
Q19240,P5063,i43087
Q311682,P8814,01485528-n
Q311682,P5063,i43094
Q35077862,P8814,01486011-n
Q35077862,P5063,i43097
Q137078,P8814,01486348-n
Q137078,P5063,i43099
Q171298,P8814,01486621-n
Q171298,P5063,i43101
Q2947096,P8814,01487714-n
Q2947096,P5063,i43108
Q16542604,P8814,01487947-n
Q16542604,P5063,i43109
Q17280257,P8814,01488314-n
Q17280257,P5063,i43111
Q17283693,P8814,01489347-n
Q17283693,P5063,i43117
Q17284129,P8814,01490555-n
Q17284129,P5063,i43123
Q48191,P8814,01491180-n
Q48191,P5063,i43127
Q312359,P8814,01491916-n
Q312359,P5063,i43129
Q15695051,P8814,01493526-n
Q15695051,P5063,i43137
Q2186811,P8814,01493876-n
Q2186811,P5063,i43139
Q608028,P8814,01494161-n
Q608028,P5063,i43141
Q756279,P8814,01494632-n
Q756279,P5063,i43144
Q2061110,P8814,01494853-n
Q2061110,P5063,i43145
Q2806074,P8814,01495653-n
Q2806074,P5063,i43150
Q1245778,P8814,01496007-n
Q1245778,P5063,i43152
Q208490,P8814,01496829-n
Q208490,P5063,i43157
Q132998,P8814,01496980-n
Q132998,P5063,i43158
Q15207726,P8814,01497833-n
Q15207726,P5063,i43163
Q756731,P8814,01497981-n
Q756731,P5063,i43164
Q190736,P8814,01499585-n
Q190736,P5063,i43171
Q683945,P8814,01499919-n
Q683945,P5063,i43173
Q3122687,P8814,01501218-n
Q3122687,P5063,i43181
Q2825690,P8814,01501902-n
Q2825690,P5063,i43185
Q1428166,P8814,01502236-n
Q1428166,P5063,i43187
Q16354702,P8814,01502539-n
Q16354702,P5063,i43189
Q1536199,P8814,01503001-n
Q1536199,P5063,i43191
Q837104,P8814,01503636-n
Q837104,P5063,i43195
Q19776304,P8814,01519128-n
Q19776304,P5063,i43223
Q19622300,P8814,01519519-n
Q19622300,P5063,i43225
Q840849,P8814,01520988-n
Q840849,P5063,i43232
Q1569770,P8814,01521205-n
Q1569770,P5063,i43233
Q19173,P8814,01521687-n
Q19173,P5063,i43236
Q756871,P8814,01521869-n
Q756871,P5063,i43237
Q858264,P8814,01522360-n
Q858264,P5063,i43240
Q11085824,P8814,01522699-n
Q11085824,P5063,i43242
Q3621064,P8814,01522925-n
Q3621064,P5063,i43243
Q19171,P8814,01523838-n
Q19171,P5063,i43248
Q6090573,P8814,01524243-n
Q6090573,P5063,i43250
Q3605955,P8814,01524621-n
Q3605955,P5063,i43252
Q214508,P8814,01524788-n
Q214508,P5063,i43253
Q2638301,P8814,01524946-n
Q2638301,P5063,i43254
Q15865426,P8814,01525430-n
Q15865426,P5063,i43257
Q899705,P8814,01525593-n
Q899705,P5063,i43258
Q3924795,P8814,01529696-n
Q3924795,P5063,i43273
Q378278,P8814,01530415-n
Q378278,P5063,i43278
Q160835,P8814,01531677-n
Q160835,P5063,i43286
Q5261336,P8814,01534748-n
Q5261336,P5063,i43299
Q843168,P8814,01535305-n
Q843168,P5063,i43302
Q339517,P8814,01536421-n
Q339517,P5063,i43309
Q10808271,P8814,01537646-n
Q10808271,P5063,i43317
Q955626,P8814,01538483-n
Q955626,P5063,i43322
Q1073612,P8814,01539115-n
Q1073612,P5063,i43326
Q609717,P8814,01540001-n
Q609717,P5063,i43331
Q1073197,P8814,01541139-n
Q1073197,P5063,i43338
Q10749446,P8814,01541416-n
Q10749446,P5063,i43340
Q868144,P8814,01543338-n
