Q1513945	P8814	"01748543-n"
Q1513945	P5063	"i44499"
Q167912	P8814	"01748832-n"
Q167912	P5063	"i44501"
Q1285063	P8814	"01749593-n"
Q1285063	P5063	"i44506"
Q192754	P8814	"01750905-n"
Q192754	P5063	"i44514"
Q386619	P8814	"01751327-n"
Q386619	P5063	"i44517"
Q622805	P8814	"01752383-n"
Q622805	P5063	"i44523"
Q1454860	P8814	"01752808-n"
Q1454860	P5063	"i44526"
Q1520949	P8814	"01753078-n"
Q1520949	P5063	"i44528"
Q2005433	P8814	"01753384-n"
Q2005433	P5063	"i44530"
Q40581	P8814	"01753856-n"
Q40581	P5063	"i44533"
Q2321476	P8814	"01754113-n"
Q2321476	P5063	"i44535"
Q369667	P8814	"01755673-n"
Q369667	P5063	"i44544"
Q371183	P8814	"01755821-n"
Q371183	P5063	"i44545"
Q1515347	P8814	"01758730-n"
Q1515347	P5063	"i44559"
Q222287	P8814	"01759149-n"
Q222287	P5063	"i44561"
Q646391	P8814	"01759374-n"
Q646391	P5063	"i44562"
Q617863	P8814	"01759557-n"
Q617863	P5063	"i44563"
Q1498023	P8814	"01759984-n"
Q1498023	P5063	"i44565"
Q113297	P8814	"01777025-n"
Q113297	P5063	"i44613"
