wn_synset,wn_definition,wn_ili,wn_members,wn_wd_qid
02605250-n,a genus of Atherinidae,i49383,Atherinopsis|genus Atherinopsis,Q2636021
02605600-n,monotypic family of large active fishes of tropical and subtropical waters: barracuda,i49385,Sphyraenidae|family Sphyraenidae,Q13166704
02605804-n,type and sole genus of the Sphyraenidae: barracuda,i49386,Sphyraena|genus Sphyraena,Q193921
02606644-n,sea chubs,i49391,Kyphosidae|family Kyphosidae,Q1130631
02607287-n,small family comprising the spadefishes,i49395,Ephippidae|family Ephippidae,Q637670
02607441-n,a genus of Ephippidae,i49396,Chaetodipterus|genus Chaetodipterus,Q596898
02608439-n,angelfishes,i49402,Pomacanthus|genus Pomacanthus,Q762409
02608824-n,damselfishes,i49405,Pomacentridae|family Pomacentridae,Q501720
02609220-n,type genus of the Pomacentridae: damselfishes,i49407,Pomacentrus|genus Pomacentrus,Q934789
02609556-n,a genus of clownfishes or anemone fishes (Amphiprion),i49409,Amphiprion|genus Amphiprion,Q6193348
02609975-n,a genus of sergeant-majors (Abudefduf),i49412,Abudefduf|genus Abudefduf,Q132841
02610781-n,a genus of Labridae commonly known as blue gropers (Achoerodus),i49416,Achoerodus|genus Achoerodus,Q370454
02611338-n,a genus of Labridae containing 81 species of wrasses (Halicoeres),i49420,Halicoeres|genus Halicoeres,Q134935
02611799-n,a genus of Labridae containing 28 species of wrasse (Thalassoma),i49423,Thalassoma|genus Thalassoma,Q137133
02612096-n,razor fish,i49425,Hemipteronatus|genus Hemipteronatus,Q50376969
02616064-n,type genus of the Blenniidae,i49448,Blennius|genus Blennius,Q1928709
02616317-n,a genus of Blenniidae,i49450,Scartella|genus Scartella,Q3951720
02616918-n,a genus of fish of the family Clinidae including pikeblennies,i49454,Chaenopsis|genus Chaenopsis,Q2371271
02617787-n,type genus of the Pholidae: gunnels,i49459,Pholis|genus Pholis,Q2704983
02619659-n,eelpouts,i49471,Zoarcidae|family Zoarcidae,Q300929
02620319-n,a genus of eelpouts including the fish doctor,i49475,Gymnelus|genus Gymnelus,Q620717
02620586-n,a genus of eelpouts including the ocean pout,i49477,Macrozoarces|genus Macrozoarces,Q107271202
02620874-n,sand lances,i49479,Ammodytidae|family Ammodytidae,Q695712
02621002-n,type genus of the Ammodytidae,i49480,Ammodytes|genus Ammodytes,Q2624613
02622039-n,a genus of Gobiidae,i49486,Periophthalmus|genus Periophthalmus,Q662601
02622663-n,percoid flatheads,i49490,Percophidae|family Percophidae,Q1651138
02622948-n,archerfishes,i49492,Toxotidae|family Toxotidae,Q15207743
02623073-n,type genus of the Toxotidae,i49493,Toxotes|genus Toxotes,Q732534
02623456-n,worm fish,i49495,Microdesmidae|family Microdesmidae,Q1093168
02624049-n,type genus of the Acanthuridae: doctorfishes,i49499,Acanthurus|genus Acanthurus,Q648200
02624760-n,type genus of the Gempylidae,i49503,Gempylus|genus Gempylus,Q14265654
02625038-n,a genus of Gempylidae,i49505,Lepidocybium|genus Lepidocybium,Q12816990
02627007-n,type genus of the Scombridae,i49514,Scomber|genus Scomber,Q3593412
02627762-n,wahoos,i49518,Acanthocybium|genus Acanthocybium,Q17152321
02629220-n,tunas: warm-blooded fishes,i49526,Thunnus|genus Thunnus,Q2346039
02631097-n,a genus of Scombridae,i49535,Euthynnus|genus Euthynnus,Q250377
02631486-n,oceanic bonitos; in some classifications placed in its own family Katsuwonidae,i49537,Katsuwonus|genus Katsuwonus,Q17152354
02632065-n,comprising the common swordfishes,i49540,Xiphiidae|family Xiphiidae,Q567749
02632211-n,type genus of the Xiphiidae,i49541,Xiphias|genus Xiphias,Q14182864
02632682-n,"sailfishes, spearfishes, marlins",i49543,Istiophoridae|family Istiophoridae,Q30961
02634529-n,a genus of Istiophoridae,i49554,Tetrapturus|genus Tetrapturus,Q517091
02634869-n,louvars,i49556,Luvaridae|family Luvaridae,Q1817202
02634989-n,type genus of the Luvaridae,i49557,Luvarus|genus Luvarus,Q16573319
02636474-n,a genus of Stromateidae,i49565,Peprilus|genus Peprilus,Q2714710
02636786-n,"a genus of Stromateidae, containing driftfishes (Psenes)",i49567,Psenes|genus Psenes,Q1887029
02637347-n,a genus of squaretails,i49571,Tetragonurus|genus Tetragonurus,Q2116400
02637940-n,clingfishes,i49575,Gobiesocidae|family Gobiesocidae,Q559345
02638089-n,type genus of the Gobiesocidae,i49576,Gobiesox|genus Gobiesox,Q1989044
02639296-n,mojarras,i49584,Gerreidae|family Gerreidae|Gerridae|family Gerridae,Q270322
02639967-n,a genus of Gerreidae,i49588,Eucinostomus|genus Eucinostomus,Q2029813
02641465-n,only the bowfins,i49596,Amiidae|family Amiidae,Q141948
