wn_synset,wn_definition,wn_ili,wn_members,wn_wd_qid
02130772-n,"lions, leopards, snow leopards, jaguars, tigers, cheetahs, saber-toothed tigers",i46636,Panthera|genus Panthera,Q127960
02133447-n,saber-toothed tigers,i46653,Smilodon|genus Smilodon,Q188717
02133728-n,false sabertoothed tigers,i46655,Nimravus|genus Nimravus,Q134562
02134070-n,bears and extinct related forms,i46657,Ursidae|family Ursidae,Q11788
02134594-n,type genus of Ursidae: brown bears; in some classifications genus Ursus includes all bears,i46659,Ursus|genus Ursus,Q243359
02136892-n,sloth bears; in some classifications not a separate genus from Ursus,i46672,Melursus|genus Melursus,Q17484766
02138378-n,a genus of Viverridae,i46679,Viverricula|genus Viverricula,Q19817086
02138633-n,binturongs,i46681,Arctictis|genus Arctictis,Q19817059
02139275-n,monotypic genus of Madagascar civets closely related to palm civets,i46685,Fossa|genus Fossa,Q19817088
02139553-n,genets,i46687,Genetta|genus Genetta,Q43221
02139824-n,banded palm civets,i46689,Hemigalus|genus Hemigalus,Q19817081
02140080-n,mongooses,i46691,Herpestes|genus Herpestes,Q312207
02140975-n,meerkats,i46697,Suricata|genus Suricata,Q19817113
02142566-n,"a genus of Megachiroptera, comprising some of the flying foxes (Pteropus)",i46705,Pteropus|genus Pteropus,Q1241332
02143009-n,East Indian fruit bats,i46709,Nyctimene|genus Nyctimene,Q1754955
02143371-n,a genus of Megachiroptera containing 7 species of fruit bat or megabat (Cynopterus),i46711,Cynopterus|genus Cynopterus,Q311701
02145227-n,type genus of the family Phyllostomatidae,i46720,Phyllostomus|genus Phyllostomus,Q1303312
02145645-n,a genus of Phyllostomatidae,i46723,Choeronycteris|genus Choeronycteris,Q10747561
02146246-n,Old World leafnose bats,i46727,Hipposideridae|family Hipposideridae,Q604995
02146762-n,orange horseshoe bats,i46730,Rhinonicteris|genus Rhinonicteris,Q10811563
02147094-n,Old World false vampire bats,i46732,Megadermatidae|family Megadermatidae,Q841327
02147444-n,type genus of the Megadermatidae,i46734,Megaderma|genus Megaderma,Q221073
02148419-n,"a genus of Vespertilionidae, containing the parti-coloured bat and Asian parti-coloured bat (Vespertilio)",i46738,Vespertilio|genus Vespertilio,Q1762568
02148716-n,"a genus of Vespertilionidae, containing the hairy-tailed bats (Lasiurus)",i46740,Lasiurus|genus Lasiurus,Q116317
02149178-n,largest and most widely distributed genus of bats,i46743,Myotis|genus Myotis,Q223384
02149686-n,"a genus of Vespertilionidae, commonly called house bats (Eptesicus)",i46746,Eptesicus|genus Eptesicus,Q736473
02150104-n,"a genus of Vespertilionidae, containing the pallid bat (Antrozous)",i46749,Antrozous|genus Antrozous,Q10734383
02151029-n,"a genus of Vespertilionidae, containing the spotted bats (Euderma)",i46755,Euderma|genus Euderma,Q10759438
02151949-n,freetail bats,i46761,Tadarida|genus Tadarida,Q607105
02152668-n,mastiff bats,i46765,Eumops|genus Eumops,Q371577
02152958-n,true vampire bats,i46767,Desmodontidae|family Desmodontidae,Q190691
02153760-n,vampire bats,i46771,Diphylla|genus Diphylla,Q10755826
02164389-n,an order of insect identified in 2002 in a 45 million year old piece of amber from the Baltic region,i46830,Mantophasmatodea|order mantophasmatodea,Q754029
02164596-n,an order of carnivorous insects usually having long membranous wings and long beaklike heads with chewing mouths at the tip,i46831,Mecoptera|order Mecoptera,Q205301
02165056-n,a family of insects of the order Mecoptera,i46833,Panorpidae|family Panorpidae,Q931119
02165483-n,a family of predacious tropical insects of the order Mecoptera,i46835,Bittacidae|family Bittacidae,Q1953041
02166634-n,beetles,i46841,Coleoptera|order Coleoptera,Q22671
02167625-n,tiger beetles,i46843,Cicindelidae|family Cicindelidae,Q16718297
02168406-n,"genus of ladybugs, containing A. bipunctata and A. decempunctata (Adalia)",i46847,Adalia|genus Adalia,Q2665200
02169088-n,"genus of ladybugs, including H. convergens (Hippodamia)",i46851,Hippodamia|genus Hippodamia,Q1952379
02169326-n,genus of Australian ladybugs,i46853,Rodolia|genus Rodolia|genus Vedalia,Q21445747
02169638-n,ground beetles,i46855,Carabidae|family Carabidae,Q27046
02170027-n,bombardier beetles,i46857,Brachinus|genus Brachinus,Q137381
02170773-n,fireflies,i46862,Lampyridae|family Lampyridae,Q25420
02171997-n,leaf beetles,i46870,Chrysomelidae|family Chrysomelidae,Q193407
02172485-n,Colorado potato beetles,i46873,Leptinotarsa|genus Leptinotarsa,Q602990
02172921-n,carpet beetles,i46875,Dermestidae|family Dermestidae,Q220932
02173500-n,beetles that prey on other insects,i46879,Cleridae|family Cleridae,Q377988
02174285-n,scarab or dung beetles,i46884,Scarabaeidae|family Scarabaeidae,Q186946
02175039-n,type genus of the Scarabaeidae,i46887,genus Scarabaeus,Q771526
02176223-n,genus of beetles whose grubs feed mainly on roots of plants; includes several pests of cultivated grasses,i46895,Anomala|genus Anomala,Q2235787
02177173-n,a genus of Melolonthidae containing the European cockchafers (Melolontha),i46900,Melolontha|genus Melolontha,Q1780303
02177522-n,a genus of Melolonthidae,i46902,Macrodactylus|genus Macrodactylus,Q14863800
02178092-n,a genus of Cetoniidae,i46905,Cetonia|genus Cetonia,Q608094
02178443-n,stag beetles,i46907,Lucanidae|family Lucanidae,Q208786
02179720-n,water beetles,i46915,Dytiscidae|family Dytiscidae,Q327149
02180296-n,deathwatch beetles,i46919,Anobiidae|family Anobiidae,Q574725
02181215-n,weevils destructive of cultivated plants,i46924,Anthonomus|genus Anthonomus,Q1382301
02182081-n,large family of bark-boring or wood-boring short-beaked beetles; very destructive to forest and fruit trees,i46930,Scolytidae|family Scolytidae|Ipidae|family Ipidae,Q12379653
02182366-n,type genus of the Scolytidae comprising numerous small bark beetles,i46931,Scolytus|genus Scolytus,Q310770
02182698-n,genus of small bark beetles destructive especially to mature conifers,i46933,Dendroctonus|genus Dendroctonus,Q3013151
02183394-n,rove beetles,i46936,Staphylinidae|family Staphylinidae,Q467400
02183665-n,a family of arthropods including darkling beetles and mealworms,i46938,Tenebrionidae|family Tenebrionidae,Q615799
02184251-n,flour beetles,i46941,Tribolium|genus Tribolium,Q4273216
02184515-n,seed beetles,i46943,Bruchidae|family Bruchidae,Q13167641
02184872-n,type genus of the Bruchidae,i46945,Bruchus|genus Bruchus,Q2926499
02185150-n,a genus of Bruchidae containing the bean weevils (Acanthoscelides),i46947,Acanthoscelides|genus Acanthoscelides,Q1645100
02185448-n,a genus of Bruchidae,i46949,Sitophylus|genus Sitophylus,Q1431435
02186005-n,web spinners,i46952,Embioptera|order Embioptera|Embiodea|order Embiodea,Q467392
02186349-n,sucking lice,i46954,Anoplura|order Anoplura,Q26870
02186766-n,true lice: human lice and related forms,i46956,Pediculidae|family Pediculidae,Q4116982
02186922-n,type genus of Pediculidae: true lice infecting humans,i46957,Pediculus|genus Pediculus,Q13655191
02187533-n,crab lice,i46961,Phthiriidae|family Phthiriidae,Q21224264
02187659-n,true lice: crab lice,i46962,Phthirius|genus Phthirius|Phthirus|genus Phthirus,Q7257036
02187989-n,biting lice,i46964,Mallophaga|order Mallophaga,Q919938
02188346-n,chicken lice,i46966,Menopon|genus Menopon,Q18095959
02189051-n,many common fleas attacking humans and domestic animals,i46970,Pulicidae|family Pulicidae,Q1946989
02189238-n,type genus of the Pulicidae,i46971,Pulex|genus Pulex,Q2120770
02190079-n,a genus of Siphonaptera,i46977,Tunga|genus Tunga,Q15631005
02190411-n,"a genus of Siphonaptera containing some 21 species occurring in the Palaearctic, Afrotropic and Australasian regions (Echidnophaga)",i46979,Echidnophaga|genus Echidnophaga,Q10479055
02192187-n,a genus of Cecidomyidae,i46985,Mayetiola|genus Mayetiola,Q6797107
02192667-n,two-winged flies especially the housefly,i46988,Muscidae|family Muscidae,Q527224
02193300-n,type genus of the Muscidae: houseflies,i46991,Musca|genus Musca,Q145574
02193615-n,flies closely related to the Muscidae: tsetse flies,i46993,Glossinidae|family Glossinidae,Q5336147
02194269-n,type genus of the Calliphoridae: blowflies,i46997,Calliphora|genus Calliphora,Q2213438
02194779-n,greenbottle flies,i47000,Lucilia|genus Lucilia,Q4121093
02195040-n,flesh flies,i47002,Sarcophaga|genus Sarcophaga,Q1616496
02195325-n,parasites on other insects,i47004,Tachinidae|family Tachinidae,Q235715
02196009-n,horse botflies,i47008,Gasterophilidae|family Gasterophilidae,Q17415640
02196148-n,type genus of the Gasterophilidae: horse botflies,i47009,Gasterophilus|genus Gasterophilus,Q13553844
02196451-n,New World botflies,i47011,Cuterebridae|family Cuterebridae,Q5196747
02196607-n,type genus of the Cuterebridae,i47012,Cuterebra|genus Cuterebra,Q14698598
02196730-n,larvae live under the skin of domestic mammals and humans,i47013,Dermatobia|genus Dermatobia,Q18108621
02197066-n,warble flies,i47015,Oestridae|family Oestridae|Hypodermatidae|family Hypodermatidae,Q15629945
02197251-n,type genus of the Oestridae: sheep botflies,i47016,Oestrus|genus Oestrus,Q7078713
02197539-n,in some classifications considered the type genus of the family Hypodermatidae: warble flies,i47018,Hypoderma|genus Hypoderma,Q9295520
02198345-n,bee flies,i47023,Bombyliidae|family Bombyliidae,Q676390
02198648-n,robber flies,i47025,Asilidae|family Asilidae,Q837089
02199194-n,fruit flies; some leaf miners,i47028,Trypetidae|family Trypetidae|Trephritidae|family Trephritidae|Tephritidae,Q3541211
02199700-n,Mediterranean fruit flies,i47031,Ceratitis|genus Ceratitis,Q2946369
02200673-n,a genus of tephritid or fruit flies (Philophylla),i47037,Philophylla|genus Philophylla,Q7186141
02200984-n,winged or wingless dipterans: louse flies,i47039,Hippoboscidae|family Hippoboscidae,Q256346
02201648-n,an arthropod genus of wingless flies including the sheep ked,i47043,Melophagus|genus Melophagus,Q3007506
02202004-n,European genus of bloodsucking flies,i47045,Haematobia|genus Haematobia,Q5638206
02203357-n,yellow-fever mosquitos,i47052,Aedes|genus Aedes,Q310911
02205530-n,type genus of the Ceratopogonidae,i47064,Ceratopogon|genus Ceratopogon,Q14551414
02205660-n,midges,i47065,Chironomidae|family Chironomidae,Q228145
02205984-n,type genus of the Chironomidae,i47067,Chironomus|genus Chironomus,Q2704714
02206109-n,"a family of small flies, forming the bulk of those species known as fungus gnats (Mycetophylidae)",i47068,Mycetophilidae|family Mycetophylidae,Q1697984
02206391-n,very small two-winged flies with hairy wings that develop in moss and damp vegetable matter: sand flies,i47070,Psychodidae|family Psychodidae,Q753860
02206736-n,small bloodsucking sand flies that resemble moths,i47072,Phlebotomus|genus Phlebotomus,Q1709478
02207112-n,"a family of flies, commonly known as dark-winged fungus gnats (Sciaridae)",i47074,Sciaridae|family Sciaridae,Q582991
02207237-n,type genus of the Sciaridae: fungus gnat,i47075,genus Sciara,Q7433428
02208175-n,type genus of the Simuliidae: blackflies,i47081,Simulium|genus Simulium,Q3280744
02208548-n,"an order of insects including: bees, wasps, ants, ichneumons, sawflies, gall wasps, etc.",i47083,Hymenoptera|order Hymenoptera,Q22651
02211882-n,carpenter bees,i47099,Xylocopa|genus Xylocopa,Q1165550
02212160-n,bumblebees,i47101,Bombus|genus Bombus,Q25407
02212407-n,a large bee that resembles the bumblebee but lacks pollen-collecting apparatus and a worker caste,i47103,Psithyrus|genus Psithyrus,Q42274677
02212748-n,a large family of solitary short-tongued bees most of which burrow in the ground,i47105,Andrenidae|family Andrenidae,Q853287
02213219-n,a genus of bee; some are important pollinators of legumes,i47108,nomia|genus Nomia,Q4045452
02213751-n,leaf-cutting and mason bees,i47111,Megachilidae|family Megachilidae,Q530200
02213935-n,type genus of the Megachilidae: leaf-cutting bees,i47112,Megachile|genus Megachile,Q261844
02214425-n,potter bees,i47115,Anthidium|genus Anthidium,Q1460174
02216619-n,a genus of Vespidae,i47128,Polistes|genus Polistes,Q1955518
02216855-n,mason wasps,i47130,Eumenes|genus Eumenes,Q1524207
02217986-n,mud daubers; some digger wasps,i47137,Sphecidae|family Sphecidae,Q132833
02218148-n,mud daubers,i47138,Sceliphron|genus Sceliphron,Q139681
02218593-n,cicada killers,i47141,Stizidae|family Stizidae,Q1836615
02218718-n,large solitary wasps: cicada killer,i47142,Sphecius|genus Sphecius,Q2710050
02219702-n,"cynipid gall wasps, especially causing oak-apple galls",i47148,Amphibolips|genus Amphibolips,Q18100234
02219853-n,"cynipid gall wasps, chiefly affecting oaks",i47149,Andricus|genus Andricus,Q2846870
02220649-n,type genus of the Chalcididae,i47153,Chalcis|genus Chalcis,Q13635343
02223328-n,carpenter ants,i47168,Camponotus|genus Camponotus,Q157875
02223612-n,fire ants,i47170,Solenopsis|genus Solenopsis,Q1075697
02224851-n,bulldog ants,i47178,Myrmecia|genus Myrmecia,Q117160
02225803-n,type genus of the Termitidae,i47184,Termes|genus Termes,Q13582623
02226346-n,includes species highly destructive to structures and living trees,i47187,Reticulitermes|genus Reticulitermes,Q1074282
02226793-n,large widely distributed family of termites of temperate to tropical regions,i47190,Rhinotermitidae|family Rhinotermitidae,Q1953004
02226975-n,primitive termites,i47191,Mastotermitidae|family Mastotermitidae,Q11988630
02227118-n,primitive genus of termites; mostly extinct; sometimes considered the most primitive Isoptera,i47192,Mastotermes|genus Mastotermes,Q6785606
02228229-n,genus of dry wood termites; cosmopolitan in distribution; sometimes considered a subgenus of Kalotermes,i47198,Cryptotermes|genus Cryptotermes,Q4036734
02229250-n,short-horned grasshoppers; true locusts,i47203,Acrididae|family Acrididae|Locustidae|family Locustidae,Q7618284
02229771-n,a genus of Acrididae,i47206,Locusta|genus Locusta,Q15122569
02230082-n,New World migratory locusts and common American grasshoppers,i47208,Melanoplus|genus Melanoplus,Q6811522
02230425-n,long-horned grasshoppers; katydids,i47210,Tettigoniidae|family Tettigoniidae,Q727919
02231217-n,a genus of Tettigoniidae,i47214,Anabrus|genus Anabrus,Q10409546
02231526-n,long-horned grasshoppers,i47216,Stenopelmatidae|family Stenopelmatidae,Q1956922
02231675-n,sand crickets,i47217,Stenopelmatus|genus Stenopelmatus,Q13409318
02232519-n,common house and field crickets,i47222,Acheta|genus Acheta,Q4033254
02233007-n,tree crickets,i47225,Oecanthus|genus Oecanthus,Q150934
02233959-n,stick insects,i47230,Phasmidae|family Phasmidae|Phasmatidae|family Phasmatidae,Q577953
02234582-n,leaf insects,i47234,Phyllidae|family Phyllidae|Phillidae|family Phillidae,Q282198
02234738-n,type genus of the Phyllidae,i47235,Phyllium|genus Phyllium,Q2625244
02236419-n,type genus of the Blattidae: cockroaches infesting buildings worldwide,i47243,Blatta|genus Blatta,Q3079510
02236833-n,cosmopolitan genus of large cockroaches,i47245,Periplaneta|genus Periplaneta,Q264976
02237371-n,small cockroaches,i47248,Blattella|genus Blattella,Q10431102
02237730-n,giant cockroaches,i47250,Blaberus|genus Blaberus,Q2593227
02237973-n,a family of Blattodea,i47252,Cryptocercidae|family Cryptocercidae,Q21069200
02238563-n,type genus of the Mantidae: mantises,i47256,genus Mantis,Q507307
02240382-n,a genus of Miridae,i47265,Poecilocapsus|genus Poecilocapsus,Q7207293
02240765-n,plant-sucking bugs,i47267,Lygus|genus Lygus,Q3024203
02241126-n,lace bugs,i47270,Tingidae|family Tingidae,Q1472961
02241725-n,chinch bugs,i47274,Blissus|genus Blissus,Q10431364
02243029-n,type genus of the Cimicidae: bedbugs,i47283,Cimex|genus Cimex,Q10452938
02243504-n,type genus of the Notonectidae: backswimmers,i47286,Notonecta|genus Notonecta,Q3767510
02245321-n,type genus of the Nepidae: typical elongate-oval water scorpions,i47296,Nepa|genus Nepa,Q6994314
02245468-n,elongate very slender water scorpions,i47297,Ranatra|genus Ranatra,Q1154489
02245717-n,type genus of the Corixidae: boat bugs,i47299,Corixa|genus Corixa,Q5170727
02246003-n,an arthropod family that includes water striders,i47301,Gerrididae|family Gerrididae|Gerridae|family Gerridae,Q3761252
02246396-n,type genus of the Gerrididae,i47303,Gerris|genus Gerris,Q10504469
02246659-n,assassin bugs,i47305,Reduviidae|family Reduviidae,Q768510
02247048-n,conenoses,i47307,Triatoma|genus Triatoma,Q1889325
02247322-n,a genus of Reduviidae,i47309,Arilus|genus Arilus,Q15707964
